676.352	12860.4
676.478	12611.4
676.603	12619.8
676.728	12633.5
676.854	12650.2
676.979	12657.6
677.104	12672.1
677.23	12674.9
677.355	12684.9
677.48	12702
677.606	12702.7
677.731	12717.5
677.856	12722.6
677.982	12736.4
678.107	12740.2
678.232	12762.7
678.358	12770.4
678.483	12785.5
678.608	12789
678.734	12801.2
678.859	12815.3
678.984	12825.9
679.109	12827.4
679.235	12846.8
679.36	12850.3
679.485	12865.3
679.611	12878.4
679.736	12883.8
679.861	12898.5
679.987	12911.1
680.112	12912.3
680.237	12924.9
680.362	12932.6
680.488	12952.8
680.613	12951
680.738	12968.2
680.864	12984.1
680.989	12993
681.114	13006.2
681.239	13008.3
681.365	13016.2
681.49	13033
681.615	13038.4
681.741	13048.7
681.866	13066.9
681.991	13075.6
682.116	13082.9
682.242	13100.4
682.367	13111.1
682.492	13120.3
682.617	13126
682.743	13142.1
682.868	13145.5
682.993	13166.7
683.118	13166.4
683.244	13185.5
683.369	13198.5
683.494	13213.4
683.619	13213
683.745	13237.8
683.87	13240.1
683.995	13250.5
684.12	13267.8
684.246	13283.6
684.371	13288.6
684.496	13304.6
684.621	13316.6
684.747	13328.6
684.872	13338.4
684.997	13340
685.122	13354.1
685.248	13382.1
685.373	13388.7
685.498	13402.1
685.623	13410.6
685.748	13416.3
685.874	13438.2
685.999	13446.1
686.124	13458.4
686.249	13463.4
686.375	13476.9
686.5	13493.8
686.625	13511.3
686.75	13525.4
686.875	13534
687	13539.1
687.126	13565.1
687.251	13578.2
687.376	13596.2
687.501	13603.3
687.626	13619.2
687.752	13632.2
687.877	13639.1
688.002	13658.4
688.127	13668.1
688.252	13679.2
688.378	13695.8
688.503	13708.8
688.628	13732.4
688.753	13733.2
688.878	13746.2
689.003	13759.4
689.129	13772.8
689.254	13789.3
689.379	13800.6
689.504	13822.7
689.629	13832.4
689.754	13855.8
689.88	13861.9
690.005	13871.4
690.13	13886.7
690.255	13903
690.38	13915.3
690.505	13933
690.63	13941.6
690.756	13963.2
690.881	13977.6
691.006	13988
691.131	14006.4
691.256	14020.5
691.381	14030.6
691.506	14046.6
691.632	14059.4
691.757	14067.2
691.882	14082.9
692.007	14103.7
692.132	14114.1
692.257	14131.7
692.382	14137.6
692.508	14155.6
692.633	14171.8
692.758	14191.6
692.883	14193.6
693.008	14213.2
693.133	14238.3
693.258	14244.6
693.383	14258.6
693.508	14281.2
693.633	14299.2
693.759	14299.4
693.884	14305.6
694.009	14328.1
694.134	14349.2
694.259	14356.1
694.384	14380
694.509	14404.2
694.634	14406.5
694.759	14427.8
694.884	14436.5
695.009	14449.3
695.135	14465.4
695.26	14483.2
695.385	14497.9
695.51	14518.7
695.635	14536.3
695.76	14548.2
695.885	14556.7
696.01	14574.7
696.135	14595.9
696.26	14606.8
696.385	14627.5
696.51	14642
696.635	14653.1
696.76	14671.3
696.885	14676.2
697.01	14701
697.135	14724.1
697.261	14737.4
697.386	14748.7
697.511	14779.9
697.636	14784.4
697.761	14789.7
697.886	14814.8
698.011	14819.9
698.136	14840
698.261	14854.3
698.386	14876.9
698.511	14891.6
698.636	14907.8
698.761	14921.4
698.886	14944.1
699.011	14949.5
699.136	14962.3
699.261	14981.3
699.386	15001.9
699.511	15025.1
699.636	15041
699.761	15047
699.886	15047.2
700.011	15085.6
700.136	15091.6
700.261	15110.5
700.386	15135.6
700.511	15144
700.636	15160.8
700.761	15173.8
700.886	15189.3
701.011	15203.9
701.136	15219.1
701.261	15240.5
701.386	15249.6
701.511	15272.6
701.636	15294.3
701.761	15300.3
701.886	15318.6
702.011	15328.3
702.136	15351.9
702.261	15362.7
702.386	15389.1
702.511	15394.9
702.635	15417.1
702.76	15431.3
702.885	15447.6
703.01	15453.8
703.135	15470
703.26	15493.8
703.385	15507.2
703.51	15524.6
703.635	15539.5
703.76	15560
703.885	15569.6
704.01	15585
704.135	15596.3
704.26	15619.9
704.385	15632.8
704.51	15654.9
704.635	15670.3
704.759	15679.1
704.884	15702.4
705.009	15700.9
705.134	15731.8
705.259	15742.1
705.384	15756.8
705.509	15770
705.634	15800.2
705.759	15804.6
705.884	15825.5
706.008	15827.3
706.133	15846.6
706.258	15867.5
706.383	15885.8
706.508	15901.2
706.633	15912.7
706.758	15925.1
706.883	15940.5
707.008	15960.5
707.132	15977.7
707.257	15972.9
707.382	16005.2
707.507	16002.8
707.632	16021.3
707.757	16048.7
707.882	16064.1
708.007	16078.2
708.131	16090.6
708.256	16100.6
708.381	16120.5
708.506	16126.7
708.631	16152.5
708.756	16162
708.88	16183.6
709.005	16193.3
709.13	16213.2
709.255	16220.8
709.38	16237.9
709.505	16258.4
709.63	16269.1
709.754	16289.7
709.879	16296.9
710.004	16307.4
710.129	16318.9
710.254	16332.2
710.378	16351.7
710.503	16368.6
710.628	16389.9
710.753	16411.6
710.878	16415.1
711.003	16433.8
711.127	16441
711.252	16471.4
711.377	16473.6
711.502	16490.8
711.626	16505.9
711.751	16526.5
711.876	16528
712.001	16545.3
712.126	16547.1
712.25	16577.5
712.375	16584.8
712.5	16603.7
712.625	16628.4
712.75	16640.1
712.874	16653
712.999	16668
713.124	16670.1
713.249	16681.3
713.373	16699.5
713.498	16711.6
713.623	16732.5
713.748	16743.6
713.872	16757.9
713.997	16772.6
714.122	16787
714.247	16801.8
714.371	16805.6
714.496	16826.6
714.621	16834.7
714.746	16848.3
714.87	16863.3
714.995	16873.7
715.12	16880.9
715.245	16898.8
715.369	16902.9
715.494	16923.9
715.619	16928.2
715.743	16942.2
715.868	16961.4
